text,label
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
The president signed a new bill into law.,1
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The team won the championship game.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The team won the championship game.,1
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
The team won the championship game.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The team won the championship game.,1
The team won the championship game.,1
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
The team won the championship game.,1
The team won the championship game.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
The team won the championship game.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
The team won the championship game.,1
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
The team won the championship game.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
The team won the championship game.,1
Aliens landed in New York City.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
The president signed a new bill into law.,1
The team won the championship game.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
The team won the championship game.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
The team won the championship game.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The team won the championship game.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The team won the championship game.,1
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
The team won the championship game.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The team won the championship game.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The team won the championship game.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
The team won the championship game.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The team won the championship game.,1
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The team won the championship game.,1
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
The team won the championship game.,1
The team won the championship game.,1
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
The team won the championship game.,1
The team won the championship game.,1
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
The team won the championship game.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
The team won the championship game.,1
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
The team won the championship game.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The team won the championship game.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
The team won the championship game.,1
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The team won the championship game.,1
The team won the championship game.,1
The stock market hit a record high today.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The team won the championship game.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
The team won the championship game.,1
Aliens landed in New York City.,0
The team won the championship game.,1
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
The team won the championship game.,1
The stock market hit a record high today.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
The stock market hit a record high today.,1
The stock market hit a record high today.,1
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The team won the championship game.,1
The team won the championship game.,1
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Scientists discover a new species of frog.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The stock market hit a record high today.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The team won the championship game.,1
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
The team won the championship game.,1
"The earth is flat, new study claims.",0
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
The team won the championship game.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
The president signed a new bill into law.,1
Aliens landed in New York City.,0
Aliens landed in New York City.,0
The stock market hit a record high today.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The team won the championship game.,1
Politician admits to being a lizard person.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
Aliens landed in New York City.,0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
The team won the championship game.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
The president signed a new bill into law.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Scientists discover a new species of frog.,1
Politician admits to being a lizard person.,0
The team won the championship game.,1
Drinking bleach cures all diseases.,0
The stock market hit a record high today.,1
The stock market hit a record high today.,1
The team won the championship game.,1
Aliens landed in New York City.,0
The team won the championship game.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
Scientists discover a new species of frog.,1
"The earth is flat, new study claims.",0
The team won the championship game.,1
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
The team won the championship game.,1
The stock market hit a record high today.,1
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
Politician admits to being a lizard person.,0
The president signed a new bill into law.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
Aliens landed in New York City.,0
Politician admits to being a lizard person.,0
"The earth is flat, new study claims.",0
Politician admits to being a lizard person.,0
Politician admits to being a lizard person.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Aliens landed in New York City.,0
Drinking bleach cures all diseases.,0
Politician admits to being a lizard person.,0
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
Scientists discover a new species of frog.,1
Drinking bleach cures all diseases.,0
Drinking bleach cures all diseases.,0
"The earth is flat, new study claims.",0
The president signed a new bill into law.,1
The stock market hit a record high today.,1
The team won the championship game.,1
The stock market hit a record high today.,1
"The earth is flat, new study claims.",0
The stock market hit a record high today.,1
The president signed a new bill into law.,1
Drinking bleach cures all diseases.,0
