en,es
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
hello,hola
how are you,como estas
good morning,buenos dias
thank you,gracias
yes,si
no,no
goodbye,adios
please,por favor
